GEOID,pop,pop65,income
060371112065,1106,254,198958.0
060371113021,1435,309,140438.0
060371113022,1113,169,63409.0
060371113023,1354,248,188021.0
060371113024,1065,31,
060371113031,1874,204,126250.0
060371113032,2693,462,96250.0
060371113041,1096,157,43558.0
060371113042,1986,178,76528.0
060371114011,2193,362,127115.0
060371114021,2175,576,
060371114022,2036,317,86875.0
060371114023,1787,304,59345.0
060371131011,1581,469,131250.0
060371131012,1959,587,126048.0
060371131021,1768,338,234750.0
060371131022,1212,367,206389.0
060371132111,1873,436,134375.0
060371132112,2265,468,97372.0
060371132121,869,216,88807.0
060371132122,2003,346,89219.0
060371132131,3483,522,143322.0
060371132132,1585,311,100000.0
060371132311,1062,205,192583.0
060371132312,1171,275,125994.0
060371132321,3107,489,166000.0
060371132322,1670,432,107596.0
060371132341,1177,442,66696.0
060371132342,1080,168,85625.0
060371132343,2386,115,109712.0
060371132344,997,141,
060371132351,1690,328,89744.0
060371132371,2953,756,127463.0
060371132372,1812,213,184276.0
060371132381,1165,226,51303.0
060371132382,2801,252,75304.0
060371132383,630,63,133802.0
060371132391,888,256,48894.0
060371132392,1246,150,50941.0
060371133011,477,123,176538.0
060371133012,3778,819,116055.0
060371133031,2414,465,114896.0
060371133032,1385,348,82159.0
060371133221,2017,458,136827.0
060371133222,2744,586,117637.0
060371133231,2104,236,77614.0
060371133232,1800,223,112778.0
060371133241,2837,161,100960.0
060371134231,1444,144,168542.0
060371134232,1401,167,59583.0
060371134241,1867,542,105147.0
060371134242,1266,151,160182.0
060371134251,1396,17,76905.0
060371134252,2858,172,59461.0
060371134261,2302,327,77070.0
060371134271,1562,80,64355.0
060371134272,824,21,39250.0
060371134281,1005,175,107455.0
060371134282,1250,263,134682.0
060371134283,1865,114,
060371151011,1510,426,172321.0
060371151012,2312,577,139375.0
060371151013,1212,384,126845.0
060371151031,2606,0,
060371151041,844,263,161406.0
060371151042,1145,60,93750.0
060371151043,1204,24,
060371151044,1211,79,63000.0
060371152021,1971,124,77401.0
060371152022,2610,336,73438.0
060371152023,1453,256,55026.0
060371152031,1484,421,76466.0
060371152032,445,0,
060371152041,1966,315,111844.0
060371152042,1987,202,70526.0
060371153011,1150,240,95854.0
060371153012,1397,139,80550.0
060371153013,991,303,201107.0
060371153014,900,155,90043.0
060371153021,1094,40,70517.0
060371153022,1397,75,42411.0
060371153023,1348,242,121106.0
060371154011,1491,175,53036.0
060371154012,762,29,51285.0
060371154013,1975,539,71599.0
060371154014,1409,60,81557.0
060371154031,1333,130,66750.0
060371154032,2046,158,72357.0
060371154041,1247,103,128393.0
060371154042,1372,152,75893.0
060371171011,1926,175,128582.0
060371171012,1362,97,98646.0
060371171013,1945,117,76553.0
060371171021,1120,119,125052.0
060371171022,1307,364,73077.0
060371172011,1329,263,103636.0
060371172012,1175,167,
060371172013,1604,44,52788.0
060371172021,1836,547,89250.0
060371172022,982,157,133295.0
060371173011,1516,106,146384.0
060371173012,1570,149,148482.0
060371173013,722,224,114444.0
060371173021,1291,287,108333.0
060371173022,786,187,118458.0
060371173023,1337,254,166544.0
060371173024,1536,248,90568.0
