h3,name,holc,access_min,access_km,street_m,access_src
882830886dfffff,Glorietta E 2,,36.8,2.95,4420.0,routed
8828308881fffff,Cragmont NE 5,,55.8,4.46,0.0,routed
8828308883fffff,Carriage Hills South S 6,,72.2,5.78,0.0,routed
8828308885fffff,Carriage Hills South SE 13,,48.9,3.92,0.0,routed
8828308887fffff,Carriage Hills South SE 9,,80.7,6.45,0.0,routed
8828308889fffff,Cragmont NE 4,,43.5,3.48,924.0,routed
882830888bfffff,Cragmont NE 3,,61.6,4.93,0.0,routed
882830888dfffff,Berkeley Hills NE 4,,46.8,3.75,0.0,routed
8828308891fffff,Carriage Hills South S 5,,88.1,7.05,0.0,routed
8828308893fffff,Carriage Hills South SW 5,,95.6,7.65,0.0,routed
8828308895fffff,Carriage Hills South S 4,,97.6,7.81,0.0,routed
8828308897fffff,Carriage Hills South S 3,,96.0,7.68,0.0,routed
8828308899fffff,Kensington NE 2,,72.3,5.78,0.0,routed
882830889bfffff,Kensington NE 3,,96.1,7.69,0.0,routed
882830889dfffff,Kensington NE 4,,71.3,5.71,0.0,routed
88283088a1fffff,Carriage Hills South SE 12,,106.6,8.52,0.0,routed
88283088a3fffff,Carriage Hills South SE 8,,87.6,7.01,0.0,routed
88283088a5fffff,Carriage Hills South SE 15,,113.6,9.09,0.0,routed
88283088a7fffff,Carriage Hills South SE 11,,108.6,8.69,350.0,routed
88283088a9fffff,Carriage Hills South SE 14,,121.8,9.74,0.0,routed
88283088abfffff,Carriage Hills South SE 10,,98.5,7.88,0.0,routed
