GEOID,pop,pop65,income
060133290001,1428,484,130125.0
060133290002,2527,339,197161.0
060133290003,1221,53,108173.0
060133290004,1106,212,78047.0
060133300001,1230,219,107083.0
060133300002,2171,353,118750.0
060133300003,1103,153,142188.0
060133300004,1025,146,110875.0
060133310001,714,86,88821.0
060133310002,1493,600,
060133310003,1205,23,
060133310004,990,190,81884.0
060133310005,1707,281,150336.0
060133310006,1705,157,67156.0
060133320001,1770,370,141159.0
060133320002,985,256,192708.0
060133320003,1555,157,122840.0
060133320004,1099,313,191406.0
060133320005,644,155,158636.0
060133320006,1595,0,127969.0
060133320007,505,74,90750.0
060133331011,689,178,144375.0
060133331012,1754,398,101053.0
060133331013,1671,220,138623.0
060133331021,1113,387,121210.0
060133331022,1167,250,164508.0
060133331023,1667,195,89125.0
060133332001,946,185,153438.0
060133332002,860,182,104432.0
060133332003,948,168,111116.0
060133332004,1129,427,104038.0
060133332005,1964,220,202333.0
060133340011,1891,395,137969.0
060133340012,2113,277,95357.0
060133340061,1416,244,125333.0
060133340062,2249,471,181250.0
060133340063,1051,137,175114.0
060133340071,486,45,
060133340072,1317,551,47115.0
060133340073,1629,338,153750.0
060133340081,1475,202,93750.0
060133340082,2489,208,151250.0
060133342001,1306,220,250001.0
060133342002,1401,283,
060133342003,1682,1181,61571.0
060133342004,893,84,152639.0
060133342005,1150,137,182847.0
060133342006,1196,280,250001.0
060133350001,1442,238,201806.0
060133350002,1639,220,138944.0
060133350003,588,70,171625.0
060133361011,1677,166,76897.0
060133361012,1323,104,69971.0
060133361013,1210,28,85167.0
060133361031,2136,132,68799.0
060133361032,2851,35,56729.0
060133361041,1088,46,73450.0
060133361042,1353,66,68828.0
060133362011,2001,360,70039.0
060133362012,1138,183,124545.0
060133362013,696,59,75469.0
060133362021,3232,150,86197.0
060133362022,1228,24,70000.0
060133362023,1109,0,56780.0
060133371001,1526,370,123750.0
060133371002,1650,464,116250.0
060133372011,1057,222,86174.0
060133372012,1904,176,57717.0
060133372021,1226,157,31927.0
060133372022,1180,200,171484.0
060133372023,1305,609,93214.0
060133372024,1597,328,119968.0
060133373001,1736,292,189358.0
060133373002,1412,205,85000.0
060133373003,733,165,99861.0
060133373004,775,195,
060133373005,688,135,235250.0
060133373006,808,208,236818.0
060133381011,1290,123,120435.0
060133381012,689,183,69676.0
060133381013,2243,132,76530.0
060133381014,967,203,61782.0
060133381021,786,163,142955.0
060133381022,2433,466,190500.0
060133382011,2212,483,192692.0
060133382012,1849,602,236357.0
060133382031,1326,0,118713.0
060133382032,842,15,148770.0
060133382033,962,125,148438.0
060133382034,1230,158,173250.0
060133382035,1430,206,184934.0
060133382041,1953,341,160362.0
060133382042,1090,284,193036.0
060133382043,1596,497,104522.0
060133382044,1797,446,199795.0
060133383011,1854,430,212753.0
060133383012,1068,362,214313.0
060133383021,1908,502,223750.0
060133383022,1098,383,204196.0
060133383023,2299,475,157313.0
060133390011,991,28,95909.0
060133390012,1623,81,90552.0
060133390013,1064,117,110795.0
060133390031,2377,356,119793.0
060133390032,2032,203,111184.0
060133390041,2671,245,130491.0
060133390042,650,122,178358.0
060133400011,560,67,134593.0
060133400012,2242,224,108301.0
060133400013,1543,125,
060133400014,2280,355,182917.0
060133400031,1154,133,189700.0
060133400032,721,172,108537.0
060133400033,1606,485,151875.0
060133400041,828,95,167034.0
060133400042,1334,305,212891.0
060133400043,1954,548,132188.0
060133410001,1138,288,116055.0
060133410002,1916,302,233977.0
060133410003,1585,315,134306.0
060133430011,1018,389,236836.0
060133430012,1502,381,209009.0
060133430013,2186,211,111103.0
060133430014,1194,266,161467.0
060133430021,2170,329,150417.0
060133430022,1889,588,226382.0
060133430023,535,176,160714.0
060133430031,1990,645,176500.0
060133430032,1767,365,169637.0
060133451011,781,236,123068.0
060133451012,2185,221,250001.0
060133451013,1510,319,165652.0
060133451014,2286,156,178783.0
060133451021,891,205,187375.0
060133451022,2408,270,182813.0
060133451023,1160,140,194643.0
060133451031,1174,59,245089.0
060133451032,969,189,250001.0
060133451033,2677,315,223466.0
060133451034,597,386,
060133451051,1838,280,190691.0
060133451052,1297,420,151927.0
060133451053,783,97,250001.0
060133451054,1169,221,226607.0
060133451055,1079,154,141908.0
060133451111,2170,282,243478.0
060133451112,1688,55,129545.0
060133451113,737,167,192917.0
060133451114,1174,31,99792.0
060133451121,2264,216,250001.0
060133451122,1618,109,103650.0
060133451123,1526,181,250001.0
060133451124,2746,272,241354.0
060133451131,1885,414,250001.0
060133451132,2900,547,212589.0
060133451141,1533,332,196929.0
060133451142,1372,871,119714.0
060133451143,2659,463,250001.0
060133451144,1100,69,250001.0
060133451151,2251,332,206324.0
060133451152,2277,533,250001.0
060133451153,1963,394,224236.0
060133451161,1115,200,208409.0
060133451162,1635,285,225400.0
060133451171,1613,232,250001.0
060133451172,1110,152,121023.0
060133451173,1834,376,196250.0
060133451181,2541,473,163938.0
060133451182,957,383,137647.0
060133452031,2106,521,224766.0
060133452032,1705,229,217620.0
060133452033,1734,131,115588.0
060133452034,1761,200,204792.0
060133452041,1808,470,248156.0
060133452042,1294,253,250001.0
060133452051,681,154,226354.0
060133452052,1939,48,117301.0
060133452053,2969,214,178799.0
060133452061,1347,196,216813.0
060133452062,2208,256,167917.0
060133461011,2339,544,250001.0
060133461012,976,405,250001.0
060133461021,1916,375,250001.0
060133461022,1730,330,250001.0
060133461023,968,127,250001.0
060133461024,856,329,241250.0
060133462031,3147,690,174340.0
060133462032,963,224,219118.0
060133462041,1998,407,250001.0
060133462042,2089,368,250001.0
060133462043,2114,567,250001.0
060133462044,1550,25,250001.0
060133462051,2677,570,243295.0
060133462052,1433,501,222574.0
060133462061,1104,273,230441.0
060133462062,2289,488,250001.0
060133470001,2572,423,230380.0
060133470002,2634,598,250001.0
