h3,pop,pct65,income,ac_est,ac_src
8829a1129bfffff,41.0,6.28,171875.0,99.2,measured
8829a1129dfffff,41.0,6.28,171875.0,99.2,measured
8829a112a1fffff,3.0,13.31,133678.7920908391,91.16,measured
8829a112a5fffff,1.0,13.11,123977.0,83.2,measured
8829a112a9fffff,406.0,13.52,143608.12662984754,99.3,measured
8829a112abfffff,282.0,13.97,139828.99285954572,99.1,measured
8829a112adfffff,228.0,13.52,143553.86276964605,99.25,measured
8829a112b9fffff,72.0,13.19,134256.66129431268,97.61,measured
8829a112c1fffff,838.0,23.2,167224.7238212858,99.19,measured
8829a112c3fffff,261.0,24.92,195648.0,99.5,measured
8829a112c5fffff,856.0,22.02,126090.52949317232,99.23,measured
8829a112c7fffff,289.0,21.02,162521.49216952536,99.5,measured
8829a112c9fffff,827.0,18.85,218141.93572504702,99.1,measured
8829a112cbfffff,572.0,21.95,211645.13543294728,99.19,measured
8829a112cdfffff,1408.0,22.92,117168.45709707437,99.27,measured
8829a112d1fffff,255.0,24.9,195518.23560275784,99.49,measured
8829a112d3fffff,47.0,19.65,168854.65009709072,97.75,measured
8829a112d5fffff,232.0,24.49,195103.9611718727,99.49,measured
8829a112d7fffff,41.0,6.49,172149.08392493945,99.2,measured
8829a112d9fffff,113.0,23.39,186607.89956135565,98.97,measured
8829a112dbfffff,25.0,14.63,139051.3619131967,95.72,measured
8829a112ddfffff,261.0,24.92,195648.0,99.5,measured
8829a112e1fffff,130.0,13.16,111149.70105650289,98.76,measured
8829a112e3fffff,290.0,15.48,125124.1325377607,99.46,measured
8829a112e5fffff,1338.0,10.88,105438.76061242686,98.97,measured
8829a112e7fffff,418.0,13.52,143426.4647534386,99.3,measured
8829a112e9fffff,134.0,21.5,162345.99117980356,98.8,measured
8829a112ebfffff,226.0,16.02,120000.00000000001,99.5,measured
8829a112edfffff,273.0,13.21,83836.0,97.7,measured
8829a11301fffff,638.0,7.8,84236.70640690257,98.09,measured
8829a11303fffff,187.0,16.7,108025.05777939508,99.32,measured
8829a11305fffff,408.0,8.36,85183.81677623122,98.04,measured
8829a11307fffff,60.0,7.92,85104.87819468122,97.77,measured
8829a11309fffff,1710.0,18.99,97141.6853573391,98.78,measured
8829a1130bfffff,197.0,13.75,100280.5807853753,98.89,measured
8829a1130dfffff,1326.0,14.42,101264.14754064562,98.73,measured
8829a11311fffff,2468.0,13.29,119163.63105589652,99.11,measured
8829a11313fffff,2219.0,14.65,108104.62181197871,99.02,measured
8829a11315fffff,553.0,16.08,107041.64531256343,99.34,measured
8829a11317fffff,1781.0,17.03,100258.11506541788,99.25,measured
8829a11319fffff,3131.0,11.73,72108.1198634834,97.55,measured
8829a1131bfffff,4958.0,12.28,107519.74427048535,98.21,measured
8829a1131dfffff,1097.0,11.85,126045.8303184,99.32,measured
8829a11321fffff,1.0,13.11,123977.0,83.2,measured
8829a11323fffff,1.0,13.11,123977.0,83.2,measured
8829a11325fffff,1.0,13.11,123977.0,83.2,measured
8829a11327fffff,1.0,13.11,123977.0,83.2,measured
8829a11329fffff,76.0,18.6,102488.11307354273,97.24,measured
8829a1132bfffff,1.0,13.11,123977.00000000001,83.2,measured
8829a1132dfffff,77.0,18.6,102480.36102893675,97.25,measured
8829a11331fffff,223.0,19.07,127371.06933237653,99.01,measured
8829a11333fffff,500.0,17.23,120609.01206547674,99.07,measured
8829a11335fffff,1.0,13.11,123977.00000000001,83.2,measured
8829a11337fffff,1.0,13.11,123977.0,83.2,measured
8829a11339fffff,41.0,16.61,108458.50906163602,98.88,measured
8829a1133bfffff,1052.0,13.16,104403.96140424952,99.14,measured
8829a1133dfffff,1.0,13.11,123977.0,83.2,measured
8829a11341fffff,589.0,24.19,84486.27854948379,98.01,measured
8829a11343fffff,4816.0,15.41,103106.309615119,98.55,measured
8829a11345fffff,445.0,26.99,62731.8833901951,97.57,measured
8829a11347fffff,3399.0,20.31,91603.70700268581,98.51,measured
8829a11349fffff,2163.0,6.69,76208.42605026194,98.84,measured
8829a1134bfffff,2854.0,8.04,79458.43317924734,98.31,measured
8829a1134dfffff,2.0,0.0,,100.0,measured
8829a11351fffff,4213.0,11.42,79428.57552723814,98.42,measured
8829a11353fffff,1892.0,11.42,115210.35406651311,97.92,measured
8829a11355fffff,3797.0,13.88,68571.9453482065,98.52,measured
8829a11357fffff,2606.0,13.03,112002.72434088054,98.49,measured
8829a11359fffff,2855.0,17.02,93002.31631696847,96.25,measured
8829a1135bfffff,2077.0,14.3,98633.34697957174,98.14,measured
8829a1135dfffff,5692.0,11.09,56891.47090293162,98.29,measured
8829a11361fffff,642.0,13.18,107826.55642256608,97.47,measured
8829a11363fffff,179.0,18.66,102250.0,97.4,measured
8829a11365fffff,11.0,17.98,104936.00709977388,95.64,measured
8829a11367fffff,167.0,18.66,102263.42003416336,97.39,measured
