GEOID,pop,pop65,income,units
060290028071,1250,372,200855.0,598
060290028072,666,100,76836.0,237
060290028073,1124,165,83477.0,299
060290028074,825,160,205813.0,308
060290028111,2159,921,142869.0,848
060290028112,855,102,250001.0,286
060290028113,706,75,168125.0,293
060290028131,1186,54,90660.0,300
060290028132,821,39,59962.0,444
060290028133,2555,255,44966.0,948
060290028141,1801,151,60063.0,546
060290028142,1246,135,42865.0,414
060290028143,1354,277,37781.0,703
060290028151,976,41,95714.0,310
060290028152,776,73,36782.0,427
060290028153,1140,156,63333.0,368
060290028154,1746,125,38825.0,513
060290028161,1843,165,85368.0,484
060290028162,1619,63,83750.0,543
060290028163,1329,71,75809.0,325
060290028164,2206,209,54444.0,626
060290028171,1325,141,75985.0,352
060290028172,1468,69,31736.0,592
060290028173,1633,184,77417.0,636
060290028174,979,154,49563.0,299
060290028181,2606,243,69391.0,730
060290028182,2481,292,104722.0,808
060290028191,1979,284,80531.0,797
060290028192,2372,263,67179.0,968
060290028201,1380,233,94519.0,455
060290028202,1807,104,101739.0,562
060290028203,1813,183,172212.0,396
060290028204,976,145,109777.0,323
060290028205,1136,141,98917.0,353
060290028211,1703,231,85117.0,746
060290028212,1276,103,101250.0,338
060290028213,1978,79,107574.0,680
060290028221,885,220,122045.0,330
060290028222,1402,485,99241.0,543
060290028223,803,74,199063.0,248
060290028231,1579,32,101976.0,680
060290028232,1141,264,56250.0,696
060290028233,1954,248,78250.0,572
060290028241,552,21,53750.0,234
060290028242,967,35,29623.0,448
060290028243,715,83,55884.0,392
060290028251,1141,194,40956.0,365
060290028252,1773,100,62065.0,576
060290029011,2578,123,50069.0,624
060290029012,1438,114,57237.0,418
060290029021,1700,119,70769.0,514
060290029022,2184,462,44386.0,893
060290030011,3364,403,44766.0,811
060290030012,1333,69,70547.0,271
060290030021,2420,185,40000.0,580
060290030022,983,66,41413.0,325
060290031031,1270,82,24052.0,464
060290031032,2459,50,63359.0,617
060290031033,793,121,60889.0,166
060290031121,2559,234,61565.0,1026
060290031122,2095,351,67232.0,774
060290031123,1303,372,74167.0,499
060290031131,3129,410,52902.0,1046
060290031132,2102,170,54359.0,518
060290031241,1475,290,110173.0,443
060290031242,1741,99,73351.0,522
060290031243,1798,87,88295.0,585
060290031244,610,52,,256
060290031245,16,0,,0
060290031251,1862,266,59032.0,426
060290031252,1809,171,73824.0,505
060290031261,1353,143,41900.0,567
060290031262,2486,124,59482.0,713
060290031263,1810,203,43817.0,593
060290031271,2093,176,39886.0,635
060290031272,2211,203,55074.0,541
060290031281,2705,70,51913.0,627
060290031282,1725,210,47278.0,620
060290031291,1946,300,,583
060290031292,1814,90,118361.0,593
060290031301,2751,250,122145.0,804
060290031302,2152,244,61493.0,661
060290031311,1240,263,97842.0,432
060290031312,0,0,,0
060290031313,2010,249,69643.0,648
060290031321,2438,216,66442.0,728
060290031322,1998,93,67500.0,718
060290031331,1145,110,69625.0,322
060290031332,1588,257,56827.0,507
060290031341,3509,259,91087.0,950
060290031351,2473,101,138397.0,647
060290031352,1872,142,133139.0,666
060290031361,1385,112,58986.0,495
060290031371,1478,117,57225.0,563
060290031372,1918,70,86435.0,387
060290032031,2345,294,109167.0,766
060290032071,2774,241,97168.0,549
060290032072,1989,26,66833.0,480
060290032081,1822,174,89409.0,511
060290032082,1827,96,74000.0,673
060290032083,3364,57,66868.0,754
060290032091,2841,140,71359.0,772
060290032092,2002,100,110524.0,407
060290032101,1558,237,69124.0,741
060290032102,3646,241,86406.0,1006
060290032111,3050,147,119700.0,734
060290032112,2382,61,119095.0,473
060290032121,1666,326,250001.0,613
060290032122,1324,94,110139.0,520
060290032123,2384,259,194605.0,632
060290032124,756,102,147109.0,275
060290032131,2296,153,118239.0,806
060290032141,1089,23,145804.0,279
060290032142,1055,70,,309
060290032151,2633,356,70874.0,608
060290032152,1369,110,49728.0,503
060290032161,3756,240,127386.0,872
060290032171,1082,94,97364.0,299
060290032172,2147,233,108992.0,547
060290032181,2017,72,182250.0,461
060290032182,3016,106,102218.0,815
060290032183,1400,215,97417.0,592
060290032191,3007,97,110107.0,722
060290032192,3008,218,150389.0,748
060290032201,2763,84,141042.0,757
060290032202,1097,37,91920.0,378
060290032203,1916,94,147596.0,354
060290032211,1124,130,115842.0,542
060290032212,1538,181,231172.0,544
060290032213,1861,5,127250.0,474
060290032221,1650,468,56977.0,632
060290033031,1260,244,42333.0,546
060290033041,886,104,,392
060290033042,945,129,65625.0,370
060290033043,677,56,100833.0,116
060290033051,1217,193,46500.0,721
060290033052,255,31,,213
060290033053,1725,328,32292.0,879
060290033071,1253,311,90063.0,945
060290033072,697,294,59600.0,976
060290033073,829,168,42374.0,480
060290033081,992,162,80214.0,362
060290033082,879,203,,636
060290034001,2139,70,37321.0,639
060290034002,1121,87,50500.0,374
060290034003,1050,178,51563.0,402
060290035001,1522,96,96382.0,507
060290035002,1227,31,,484
060290035003,416,200,28829.0,424
060290035004,1484,170,53796.0,559
060290035005,1974,532,95446.0,778
060290036001,690,9,58386.0,241
060290036002,1844,111,40441.0,526
060290036003,620,52,108611.0,263
060290036004,1313,157,55833.0,587
060290038061,2718,198,87670.0,953
060290038062,1966,184,145806.0,607
060290038063,1331,256,183088.0,392
060290038071,720,224,87885.0,368
060290038072,1058,272,94375.0,370
060290038073,1456,319,132700.0,472
060290038081,1841,216,98011.0,646
060290038082,1099,74,47113.0,422
060290038083,1597,141,95691.0,536
060290038101,1570,204,178950.0,465
060290038102,940,152,102656.0,423
060290038111,1685,128,79453.0,575
060290038112,779,169,67700.0,353
060290038121,1750,520,100680.0,708
060290038122,1762,216,100225.0,739
060290038123,1587,197,81477.0,495
060290038141,2702,134,187917.0,785
060290038142,1836,166,93732.0,628
060290038143,2907,29,149500.0,736
060290038151,2097,160,104260.0,809
060290038152,1743,149,140167.0,484
060290038153,1965,141,177368.0,552
060290038161,1730,71,102750.0,568
060290038162,1237,65,148333.0,396
060290038171,1524,285,89640.0,469
060290038172,1339,29,150091.0,477
060290038173,970,86,116591.0,358
060290038181,2506,16,103280.0,564
060290038182,867,186,71154.0,387
060290038183,2175,123,124250.0,580
060290038191,1097,101,96538.0,290
060290038192,1617,164,,551
060290038193,840,205,161875.0,321
060290038194,912,111,157936.0,425
060290038201,1114,420,117083.0,427
060290038202,898,564,75833.0,485
060290038203,957,21,193750.0,320
060290038211,1743,254,127292.0,498
060290038212,2120,158,160536.0,593
060290038213,641,304,183950.0,281
060290038221,1300,83,128276.0,434
060290038222,1699,194,135069.0,495
060290038231,1680,424,183661.0,668
060290038232,2914,321,174815.0,902
060290038241,1020,67,85242.0,394
060290038242,1609,398,94265.0,594
060290038251,2703,184,121176.0,828
060290038261,384,57,193056.0,118
060290038262,756,110,163333.0,266
060290038263,1647,119,135298.0,609
060290038271,2132,39,111843.0,513
060290038272,772,41,164665.0,269
060290039001,2414,177,111401.0,773
060290039002,1609,36,,139
060290040011,2592,116,77353.0,541
060290040012,1784,52,72778.0,419
060290040021,1091,28,,364
060290040022,2896,125,91985.0,709
060290041011,3940,385,96286.0,984
060290041012,923,139,,289
060290041013,1634,213,42500.0,550
060290041021,2306,153,36998.0,754
060290041022,949,127,33849.0,310
060290041023,1409,72,41979.0,347
060290043021,4081,11,,0
060290043031,3887,129,51009.0,886
060290043032,1771,103,59662.0,492
060290043041,2891,119,60455.0,796
060290043051,1453,209,99792.0,354
060290044021,1601,90,65154.0,569
060290044022,1436,67,28556.0,286
060290044023,1630,251,20662.0,690
060290044031,1500,232,67530.0,489
060290044032,1286,92,72310.0,417
060290044041,1812,207,58889.0,619
060290044042,1816,157,96467.0,415
060290044043,1131,147,31161.0,537
060290045001,1262,60,39048.0,326
060290045002,1960,94,65694.0,600
060290046011,3375,13,,0
060290046031,2358,17,,0
060290046051,622,56,,156
060290046052,2940,183,95164.0,733
060290046061,2489,239,39216.0,602
060290046062,14,0,,0
060290046071,1324,122,63750.0,332
060290046072,1998,189,75987.0,487
060290046073,1584,0,64647.0,359
060290046074,1217,161,89591.0,283
060290047021,1510,146,32679.0,424
060290047022,1182,67,48618.0,406
060290047023,1188,179,44479.0,309
060290047031,3026,121,56389.0,722
060290047032,1752,37,82778.0,332
060290047041,2879,181,47471.0,805
060290047042,1122,95,50647.0,432
060290047043,2010,193,90029.0,444
060290048011,1588,165,65729.0,353
060290048012,985,0,,240
060290048013,1607,63,,453
060290048021,3095,277,38164.0,981
060290048022,1324,175,76607.0,418
060290048023,2496,276,43125.0,848
060290049011,1081,0,50647.0,279
060290049012,2805,127,38079.0,748
060290049013,2188,299,56638.0,654
060290049031,1412,51,135294.0,322
060290049032,1426,295,126136.0,326
060290049033,905,233,40096.0,245
060290049034,1210,335,69313.0,387
060290049041,988,202,74900.0,308
060290049042,2064,324,40735.0,580
060290050031,1405,333,67347.0,300
060290050032,1883,238,34458.0,637
060290050051,1163,79,66786.0,414
060290050052,2453,200,53844.0,686
060290050061,1653,205,71136.0,590
